yoruba	english
"Irúfẹ́ ẹ̀yìn wo la ó lò fún pánẹ́ẹ̀lì yìí. Àwọn fálù tó lè jẹ́ ni ""gtk"" - a óò lo ẹ̀yìn wíjẹ́ẹ̀tì ìpéwọ̀n GTK+, ""àwọ̀"" a óò lo bọ́tìnì àwọ̀ gẹ́gẹ́ bíi àwọ̀ ẹ̀yìn tàbí ""àwòrán"" - àwòrán tí bọ́tìnì àwòrán sọ la ó lò gẹ́gẹ́ bíi ẹ̀yìn."	"Which type of background should be used for this panel. Possible values are ""gtk"" - the default GTK+ widget background will be used, ""color"" - the color key will be used as background color or ""image"" - the image specified by the image key will be used as background."
Gbagbára iṣẹ́ ipá òǹlò láti ṣàyẹ̀wò àwọn àká-irinṣẹ́.	Disable the user's ability to edit toolbars.
Mú táàbù tilẹ̀ ṣiṣẹ́	Activate previous tab
Fàyè gba àwon fèrèsé ìtasókè	Allow popups
Padà	Back
Ṣí àmì-ìwé tí a yàn nínú fèrèsé tuntun	Open the selected bookmark in a new window
Wá	Find
ÒkèOrientation	Top
Ṣí fáìlì	Open a file
Túnkì	Reload
Sún sí táàbù yìí	Switch to this tab
Àwọn Sáà:	New Session
Ṣẹ̀dà Àdírẹ̀sì Àwòrán	Copy Image Address
Orúkọ ẹja:	Name:
Trash: some-directorysome-directory	Search
́Pa ìtàn ìwáròyìn rẹ́?	Clear browsing history?
Áíkànnù tí a lò fún bọ́tìnì nǹkan	Icon used for object's button
Ìwọ̀n àkópamọ́ fọ́nrán	Size of disk cache
Ìṣílórí ìparí iṣẹ́	Logout prompt
Tó bá jẹ́ òótọ́, fi déètì hàn nínú ìtalólobó-irinṣẹ́ nígbà tí atọ́ka bá wà lórí aago.	If true, show date in a tooltip when the pointer is over the clock.
Àtòjọ-ẹ̀yàn Gangan	Main Menu
Àkóónú Wẹ́ẹ̀bù	Web options
Táìlì̀	Timezone:
Fi Ojú Kọ̀ǹpútà Kíkún Sílẹ̀	Leave Fullscreen
Chinese Traditional (Big5)	Chinese Traditional (Big5)
Àtòjọ-ẹ̀yàn agbé-ọ̀pọ̀-ìròyìn-jáde	Multimedia menu
Ó kùnà láti ṣẹ̀dá “<UNK>”.	Failed to create directory “<UNK>”.
Gbogbo àwọn fáìlì	All sites
"Bí a ṣe lè ṣàgbékalẹ̀ àwọn àwòrán aṣàfarawé kọ̀ǹpútà. Àwọn fálù tó lẹ̀ jẹ́ ni ""déédé"", ""lẹ́ẹ̀kan"" àti ""gbagbára iṣẹ́""."	"How to print pages containing frames. Allowed values are ""normal"", ""separately"" and ""selected""."
Títẹ̀ péènì òye àárín gangan láàrin á ṣí ojú-ìwé wẹ́ẹ̀bù tí àyọkà tí a yàn lọ́wọ́lọ́wọ́ ń tọ́ka sí.	Middle clicking on the main view pane will open the web page pointed to by the currently selected text.
Àwọn ààyè-iṣẹ́	Display
Ìpínfúnni Ní:	Issued On:
Ìgúnrégéàkànṣe:	Custom format:
Ṣàfikún èyí gẹ́gẹ́ bíi dúrọ́wà sí pánẹ́ẹ̀lì	Add this as drawer to panel
Kò lè ṣàfihàn ààyè <UNK>	Could not open location <UNK>
Lo àwọn àpótí onísọ̀rọ̀gbèsì	Use dialog boxes for errors
Dídá Àwọn Fèrèsé Tó Pajúdé Padà Sípò	Restoring Minimized Windows
Tún ìwọ̀n àyọkà náà ṣe	Adjust the text size
A kò rí áíkànnù	Icon <UNK> not found
ìbéèrè dá ọ̀tọ̀ padà<UNK>	query returned exception <UNK>
Àwọn ìkúndùǹ Àtòjọ Fèrèsé	Window List Preferences
Tun bẹ̀rẹ̀	Restart
O kò ní ìyànda láti ṣẹ̀dá àwọn fáìlì nínú atọ́nà yìí.	You do not have permission to create files in this directory.
Yan wúnrẹ̀nkan láti fikún dúrọ́wà:	Find an item to add to the drawer:
Àwọn Orúkọ Àwọn Ààyè-iṣẹ́	Workspace Names
́Ń ṣàtòjọ àwọn amúgbálẹ̀gbẹ́ alápọn	Lists the active extensions.
MB	MB
Ṣàfihàn ìrànwọ́ awáròyìn wẹ́ẹ̀bù	Display web browser help
Ìtúndarí sí “<UNK>”...	Redirecting to “<UNK>”…
Ṣi nínú Àwọn Táàbù Tuntun	Open in New Tabs
Ìjánu-ìsún	Switcher
Ítánẹ́̀ẹ̀tì	Internet
<UNK> jáde láìròtẹ́lẹ̀	<UNK> has quit unexpectedly
"Ń sọ ìgbà tí a óò pín àwọn fèrèsé láti inú ìṣàmúlò-ètò kan náà lórí àtòjọ fèrèsé.Àwọn fálù tó lè jẹ́ ni ""rárá"", ""aládàáṣe"" àti ""ìgbà gbogbo""."	"Decides when to group windows from the same application on the window list. Possible values are ""never"", ""auto"" and ""always""."
Kéré	Low
Ṣàgbéwọlé Líǹkì	Download Link
"position"", ""size"", and ""maximum"	Unknown Display
DIR	DIR
ÀárínSize	Medium
Visual Hebrew (ISO-8859-8)	Visual Hebrew (ISO-8859-8)
Aṣàyàn Fèrèsé	Window Selector
Bójútó ipò àìsí lórí wáyà pẹ̀lú Alábòójútó-Alátagbà	Automatically manage offline status with NetworkManager
Ṣàgbéwọlé fáìlì tó ní agbára láti léwu yìí?	Download this potentially unsafe file?
Ní ọgbọ̀n ìṣẹ̀jú sẹ́yìn	Last 30 minutes
Fátìrì Agbègbè Ìkéde	Notification Area Factory
Àtúnṣe Déètì & Àkókò	Adjust Date & Time
Ṣí fèrèsé àwọn àmì-ìwé náà	Open the bookmarks window
Ṣẹ̀dàÀkókò	Copy Time
Àtòpọ̀ àkópọ̀ ìròyìn àtijọ́ ti ṣí kúrò	Old profiles configuration migrated
Fi àká-àtòjọ-ẹ̀yàn pamọ́ nípa ìpéwọ̀n	Hide the menubar by default.
Láti inú àwọn gbàgede tí o bẹ̀wò nìkanOnly from sites you visit	Only from sites you visit
Àwọn Àsẹ́sírì	Accessories
Dúrọ́wà tó ta síta láti fi àwọn wúnrẹ̀n mìíràn pamọ́	A pop out drawer to store other items in
Ìgúnrégé wákàtí	Hour format
GNOME Jẹ oun tí ò gbààyè, tì o ṣé lò, tí o fẹsẹ múlẹ, abánirẹ àyíká ìlànà kọmpútà fún ojúlùmọ Unix ti ìdarí kọmpútà	GNOME is a Free, usable, stable, accessible desktop environment for the Unix-like family of operating systems.
Fikún Pánẹ́ẹ̀lì	Add to Panel
Ṣí Líǹkì nínú Fèrèsé Tuntun	Open Link in New Window
Pa pánẹ́ẹ̀lì yìí jẹ?	Delete this panel?
Fi Férémù Yìí Nìkan Hàn	Show Only This Frame
Alábòójútó fèrèsé rẹ kò ṣàtìlẹ́yìn bọ́tìnì ojú-iṣẹ́ ìfihàn tàbí o kò rọ́ọ̀nùalábòójútó fèrèsé ni.	Your window manager does not support the show desktop button, or you are not running a window manager.
"Ìkìlọ̀: Ó jọ wí pé àṣẹ náà máa wúlò. Níwọ̀n ìgbà tí ápúlẹ́ẹ̀tì yìí kò wúlò, o lè má fẹ́ ṣe èyí. A gbà ẹ́ nímọ̀ràn gidi kí o má lo <UNK> fún ohunkóhun tí yóò mú ápúlẹ́ẹ̀tì náà ""jẹ́ ṣíṣe"" tàbí wúlò."	"Warning: The command appears to be something actually useful. Since this is a useless applet, you may not want to do this. We strongly advise you against using <UNK> for anything which would make the applet ""practical"" or useful."
Cyrillic (IBM-855)	Cyrillic (IBM-855)
Àwọn ìkúndùn aládàáni	Personal preferences
Fún JavaScript lágbára iṣẹ́	Enable JavaScript
Ojú-ìwé òfìfo	Blank page
Nípa GNOME	About GNOME
Igbéwọlé Kùnàdownload status	Failed
Kọ́dínéètì Y pánẹ́èlì	Y co-ordinate of panel
Ìdarapọ̀ èyíkèyí	Any type of connection
A kò ri	Not found
Àwọn Ààtò Ìráyè	Universal Access Settings
Aago Kọ̀ǹpútà	Computer
Igi àtòjọ-ẹ̀yàn ṣófo	Menu tree is empty
Fẹ̀ẹ́ láti lè gba gbogbo ìfẹ̀sí ojú kọ̀ǹpútà	Expand to occupy entire screen width
Àṣìṣe GConf: <UNK>	GConf error: <UNK>
Bẹ̀rẹ̀ iṣẹ́ Ní Ọ̀nà kán nà	Reboot Anyway
Ṣàfihàn ẹja tó ń wẹ̀ tàbí ẹ̀dá ẹrankó mìíràn	Display a swimming fish or another animated creature
Fún àwọn ìtalólobó-irinṣẹ́ lágbára	Unable to mount <UNK>
Pa dúrọ́wà yìí je?	Delete this drawer?
Turkish (MacTurkish)	Turkish (MacTurkish)
Ṣàbójútó Àwọn Ìwé-ẹ̀rí	Manage Certificates
Wáròyìn wẹ́ẹ̀bù náà	Browse with caret
Ṣàgbéwọlé àwọn fáìlì náà láládàáṣe kí o sì ṣí wọn	Automatically open downloaded files
CaretCaret	Caret
Àwọn Fáìlì Ìgbà Díẹ̀	Temporary files
Ipò nǹkan pánẹ́ẹ̀lì yìí. Oye nọ́ńbà àwọn písẹ́́ẹ̀lì tó wà láti igun pánẹ́ẹ̀lì apá òsì (tàbí òkè òòró) ni yóò sọ ipò náà ní pàtó.	The position of this panel object. The position is specified by the number of pixels from the left (or top if vertical) panel edge.
Àṣìṣe kíka oye Ítíjà GConf <UNK>: <UNK>	Error reading GConf integer value <UNK>: <UNK>
Fi <UNK> hàn	Show “<UNK>”
Ojúṣe àtòjọ-ètò yìí ni láti fi àwọn ìṣàmúlò-ètò mìíràn lọ́lẹ̀ kí o sìmáa ṣe àfibọ̀ àwọn ápúlẹ́ẹ̀tì kékeré sínú ara wọn.	This program is responsible for launching other applications and provides useful utilities.
Tó bá jẹ́ ò̀ótọ́,a óò gbé àwọn atọ́ka-árò sórí àwọn bọ́tìnì ìpamọ́. Bọ́tìnì yìíkàn wúlò tí àwọn bọ́tìnìtí a fún lágbára bá jẹ́ òótọ́.	If true, arrows will be placed on the hide buttons. This key is only relevant if the enablebuttons key is true.
Ó kùnà láti ki àwòrán <UNK>	Unable to load file <UNK>: <UNK>.
Àkọ́gbéyẹ̀wò píríǹtì	Print preview
Fi àwọn àbùdá fún àmì-ìwé yìí hàn	Show properties for this bookmark
Pánẹ́ẹ̀lì Àárín Ìsàlẹ̀	Bottom Centered Panel
Pánẹ́ẹ̀lì Igun Ọ̀tún	Right Edge Panel
Àwọn Sáà	Session to use
Korean (UHC)	Korean (UHC)
Fi gbogbo àwọn ààyè-iṣẹ́ hàn:	Show all workspaces in:
Ààyè Aṣàfilọ́lẹ̀	Choose Location
Tó bá jẹ́ òótọ́,ṣàfihàn àwọn ìṣísẹ̀ nínú àkókò.	If true, display seconds in time.
Kò lè ṣí àkọsílẹ̀ tí a lò tán láìpẹ́	Could not open recently used document <UNK>
Àwọn ìkúndùn	Preferences
"ID ì̀pilẹ̀ Bonobo ti ápúlẹ́ẹ̀tì náà - b.a ""OAFIID:GNOMEClockApplet"".Bọ́tìnì yìí kàn wúlò tí bọ́tìnì irúfẹ́nǹkan bá jẹ́ ""ápúlẹ́ẹ̀tì-bonobo""."	"The implementation ID of the applet - e.g. ""ClockAppletFactory::ClockApplet"". This key is only relevant if the objecttype key is ""external-applet"" (or the deprecated ""bonobo-applet"")."
Kò lè kà látio inú <UNK> Àwọn Àlàyé: <UNK>	Unable to read from <UNK> Details: <UNK>
Lo Àwòrán Gẹ́gẹ́ Bíi Ẹ̀yìn	Use Image As Background
"Irúfẹ́ ìrísí-lẹ́tà ìpéwọ̀n. Àwọn fálù tó lè jẹ́ ni ""serif"" àti ""sans-serif""."	"Default font type. Possible values are ""serif"" and ""sans-serif""."
Aago Kọ̀ǹpútà	Computer Clock
Àtòjọ ID pánẹ́́ẹ̀lì	Panel Display
Cyrillic (ISO-IR-111)	Cyrillic (ISO-IR-111)
Chinese Simplified (GB18030)	Chinese Simplified (GB18030)
Dá iṣẹ́ tó kẹ́yìn padà sípò	Undo the last action
Pixmap ìṣàfarawé kọ̀ǹpútà ẹja	The fish's animation pixmap
Ojú kọ̀ǹpútà X níbi tí a ti ṣàfihàn pánẹ́ẹ̀lì náà	X screen where the panel is displayed
Sọ́ ní pàtó ìwọ̀n ápúlẹ́ẹ̀̀tì gan níbẹ̀rẹ̀ (kékeré, àárín, ńlá-púpọ̀ abbl.)	Specify the initial size of the applet (xx-small, medium, large etc.)
Western (MacRoman)	Western (MacRoman)
Fi Lẹ́tà Kọ̀ǹpútà Ránṣẹ́...	Send Email…
Tó bá jẹ́ òótọ́,a óò pa bọ́tìnì x náà tì, àá sì gbé pánẹ́ẹ̀lì náà sí àárín ásìsì x ojú kọ̀ǹpútà náà. Tí a bá ṣe ìṣòdíwọ̀n pánẹ́ẹ̀lì náà á wà nípò yẹn - tó túmọ̀ pé,pánẹ́ẹ̀lì náà á wá sókè ní àwọn ẹ̀gb́ẹ́ méjéèjì. Tó bá jẹ́ irọ́, bọ́tìnì x náà máa sọ ní pàtó ààyè pánẹ́ẹ̀lì náà.	If true, the x and xright keys are ignored and the panel is placed at the center of the x-axis of the screen. If the panel is resized it will remain at that position - i.e. the panel will grow on both sides. If false, the x and xright keys specify the location of the panel.
Fi àtòjọ àwọn ìṣàmúlò-ètò mímọ̀ hàn	Expand list of locations
Wádìí:	URL Search
Òmùgọ̀ ẹja ní kò ní lórúkọ. Sọ eja dí alàyè nípa fífun lórúkọ.	A fish without a name is a pretty dull fish. Bring your fish to life by naming him.
Pajẹ	Delete text
Àwọn àkọlé	Topic
Àwọn Àtòjọ-ètò fún Ìbẹ̀rẹ̀	Startup Programs
<UNK> tí a rí nínú èròjà ìwádìí àtòpọ̀ kìí ṣe fálù tó fẹsẹ̀múlẹ̀ fún aṣàtúntò bọ́tìnì ohun-èlò aṣèkúté	<UNK> found in configuration database is not a valid value for mouse button modifier
Fi àwọn kọ́lọ̀mù àkọ́lé àti àdírẹ̀sì méjèèjì hàn	Show both the title and address columns
Àtòjọ àwọn ìlàálẹ̀ òfin tí a lè ní pé kòséwu fún ní àfikún sí ìpéwọ̀n náà nígbà tí a bá fún gba agbára kíàwọn ìlàálẹ̀ òfintó léwu lágbára láti ṣiṣẹ́.	A list of protocols to be considered safe in addition to the default, when disableunsafeprotocols is enabled.
Àwọn Ìṣàmúlò-ètò	Application
Wáròyìn	Browse...
Fún Java lágbára iṣẹ́	Enable Adblock
Ìbẹrẹ <UNK>	Starting <UNK>
Awáròyìn Wẹ́ẹ̀bù Epiphany	Epiphany profile migrator
Kedere	Transparent
Bọ́tìnì yìí á jẹ́ kí o fi gbogbo àwọn fèrèsé pamọ́, kí o sì fi ojú-iṣẹ́ hàn.	This button lets you hide all windows and show the desktop.
Kò lè ka ìmújáde láti inú àṣẹ Àwọn Àlàyé: <UNK>	Unable to read output from command Details: <UNK>
Ṣàgbéwọlé àwọn fáìlì náà láládàáṣe kí o sì ṣí wọn	Automatic downloads
Tókàn	Next
Sún sí móòdù àìsí lórí wáyà	Switch to offline mode
Fún Java lágbára iṣẹ́	Enable Java
Lọ	Go
200	200
Má Tunkì	Don't Reload
Kò lè ṣẹ̀dà lórí fáìlì tó wà nílẹ̀“<UNK>”	Cannot overwrite existing file “<UNK>”
Tó bá jẹ́ òótọ́, dúrọ́wà á tì fún ra rẹ̀ nígbà tí òǹlò bá ti tẹaṣàfilọ̀lẹ̀ nínú ẹ̀.	If true, a drawer will automatically be closed when the user clicks a launcher in it.
Fi àwọn fèrèsé láti inú gbogbo àwọn àyè-iṣẹ́ hàn	Show windows from all workspaces
Ṣí URL: <UNK>	Open URL: <UNK>
Àwọn Irinṣẹ́ Ètò Kọ̀ǹpútà	System
1$s 2$s	1$s\t2$s
Fi olótùú àwọn àmì-ìwé náà lọ́lẹ̀	Launch the bookmarks editor
Ààyè pánẹ́ẹ̀lì lórí ásìsì x. Bọ́tìnì yìí kàn wúlò nínú móòdù tí a kò fẹ̀. Nínú móòdù tí a fẹ̀, ṣe ni a pa bọ́tìnì yìí tì ni, a sì gbesí igun ojú kọ̀ǹpútà tí bọ́tìnì ìṣàlàyé sọ ní pàtó	The location of the panel along the x-axis, starting from the right of the screen. If set to -1, the value is ignored and the value of the x key is used. If the value is greater than 0, then the value of the x key is ignored. This key is only relevant in un-expanded mode. In expanded mode this key is ignored and the panel is placed at the screen edge specified by the orientation key.
Gbé ààyè-iṣẹ́ fèrèsé kan sí ọ̀tún	Move window one workspace to the right
àwọn róòlù	rows
Lo àwọn ìrísí-lẹ́tà rẹ	Use system fonts
Ìtàn iwájú	Forward history
Lo sítàì-ṣiìtì àkànṣe	Use custom stylesheet
A kò ri	Not now
́Pa ìtàn ìwáròyìn rẹ́?	Enable caret browsing mode?
"Irúfẹ́ nǹkan pánẹ́ẹ̀lì yìí. Àwọn fálù tó lè jẹ́ ni ""nǹkan-dúrọ́wà"",""nǹkan-àtòjọ-ẹ̀yàn"",""nǹkan-aṣàfilọ́lẹ̀"",""ápúlẹ́ẹ̀tì bonobo"",""ápúlẹ́ẹ̀tì-iṣẹ́""àti ""àká-àtòjọ-ẹ̀yàn""."	"The type of this panel object. Possible values are ""drawer-object"", ""menu-object"", ""launcher-object"", ""bonobo-applet"", ""action-applet"" and ""menu-bar""."
Fátìrì fún ìṣẹ̀dá àwọn ápúlẹ́ẹ̀tì aago.	Factory for clock applet
Àsíá boolean ń fihàn bóyá a ti ṣẹ̀dà àtòpọ̀ òǹlò ilẹ̀ inú /appa/panel/profiles/default sínú ààyè tuntun nínúpánẹ́ẹ̀lì /apps/.	A boolean flag to indicate whether the user's previous configuration in /apps/panel/profiles/default has been copied to the new location in /apps/panel.
"Ìyítumọ̀ ìpéwọ̀n. Àwọn fálù tó gbà ni: ""armscii-8"", ""Big5"", ""Big5-HKSCS"", ""EUC-JP"", ""EUC-KR"", ""gb18030"", ""GB2312"", ""geostd8"", ""HZ-GB-2312"", ""IBM850"", ""IBM852"", ""IBM855"", ""IBM857"", ""IBM862"", ""IBM864"", ""IBM866"", ""ISO-2022-CN"", ""ISO-2022-JP"", ""ISO-2022-KR"", ""ISO-8859-1"", ""ISO-8859-2"", ""ISO-8859-3"", ""ISO-8859-4"", ""ISO-8859-5"", ""ISO-8859-6"", ""ISO-8859-7"", ""ISO-8859-8"", ""ISO-8859-8-I"", ""ISO-8859-9"", ""ISO-8859-10"", ""ISO-8859-11"", ""ISO-8859-13"", ""ISO-8859-14"", ""ISO-8859-15"", ""ISO-8859-16"", ""ISO-IR-111"", ""KOI8-R"", ""KOI8-U"", ""ShiftJIS"", ""TIS-620"", ""UTF-7"", ""UTF-8"", ""VISCII"", ""windows-874"", ""windows-1250"", ""windows-1251"", ""windows-1252"", ""windows-1253"", ""windows-1254"", ""windows-1255"", ""windows-1256"", ""windows-1257"", ""windows-1258"", ""x-euc-tw"", ""x-gbk"", ""x-johab"", ""x-mac-arabic"", ""x-mac-ce"", ""x-mac-croatian"", ""x-mac-cyrillic"", ""x-mac-devanagari"", ""x-mac-farsi"", ""x-mac-greek"", ""x-mac-gujarati"", ""x-mac-gurmukhi"", ""x-mac-hebrew"", ""x-mac-icelandic"", ""x-mac-roman"", ""x-mac-romanian"", ""x-mac-turkish"", ""x-mac-ukrainian"", ""x-user-defined"", ""x-viet-tcvn5712"", ""x-viet-vps"" and ""x-windows-949""."	"Default encoding. Accepted values are: ""armscii-8"", ""Big5"", ""Big5-HKSCS"", ""EUC-JP"", ""EUC-KR"", ""gb18030"", ""GB2312"", ""geostd8"", ""HZ-GB-2312"", ""IBM850"", ""IBM852"", ""IBM855"", ""IBM857"", ""IBM862"", ""IBM864"", ""IBM866"", ""ISO-2022-CN"", ""ISO-2022-JP"", ""ISO-2022-KR"", ""ISO-8859-1"", ""ISO-8859-2"", ""ISO-8859-3"", ""ISO-8859-4"", ""ISO-8859-5"", ""ISO-8859-6"", ""ISO-8859-7"", ""ISO-8859-8"", ""ISO-8859-8-I"", ""ISO-8859-9"", ""ISO-8859-10"", ""ISO-8859-11"", ""ISO-8859-13"", ""ISO-8859-14"", ""ISO-8859-15"", ""ISO-8859-16"", ""ISO-IR-111"", ""KOI8-R"", ""KOI8-U"", ""ShiftJIS"", ""TIS-620"", ""UTF-7"", ""UTF-8"", ""VISCII"", ""windows-874"", ""windows-1250"", ""windows-1251"", ""windows-1252"", ""windows-1253"", ""windows-1254"", ""windows-1255"", ""windows-1256"", ""windows-1257"", ""windows-1258"", ""x-euc-tw"", ""x-gbk"", ""x-johab"", ""x-mac-arabic"", ""x-mac-ce"", ""x-mac-croatian"", ""x-mac-cyrillic"", ""x-mac-devanagari"", ""x-mac-farsi"", ""x-mac-greek"", ""x-mac-gujarati"", ""x-mac-gurmukhi"", ""x-mac-hebrew"", ""x-mac-icelandic"", ""x-mac-roman"", ""x-mac-romanian"", ""x-mac-turkish"", ""x-mac-ukrainian"", ""x-user-defined"", ""x-viet-tcvn5712"", ""x-viet-vps"" and ""x-windows-949""."
Bọ́tìnì yìí ń sọ ní pàtó iye àwọn ìṣísẹ̀ tí férémù kọ̀ọ̀kan á ṣàfihàn.	This key specifies the number of seconds each frame will be displayed.
Fi àká-ipò hàn nípa ìpéwọ̀n	Show statusbar by default
"Mú ìkádìí-aládàáṣe nínú onísọ̀rọ̀gbèsì ""Rọ́ọ̀nù Ìṣàmúlò-ètò"" ṣiṣẹ́"	"The list of commands used in the past in the ""Run Application"" dialog."
Wa:	Find:
02u.02u	02u.02u
- yẹ ìpilẹ̀ Ojúùwọ̀n Àtòjọ-ẹ̀yàn Ojú-iṣẹ́ GNOME wò	- test GNOME's implementation of the Desktop Menu Specification
Turkish (IBM-857)	Turkish (IBM-857)
Àwọn Ìrísí-lẹ́tà	Fonts
Tó bá jẹ́ òótọ́, aṣàfilọ́lẹ̀ kan á yọ nígbà tí òǹlò náà bá gbé atọ́ka náà gba orí ẹ̀.	If true, a launcher is highlighted when the user moves the pointer over it.
Fátìrì Ápúlẹ́ètì Aago	Clock Applet Factory
Ìwọ̀n àtòjọ fèrèsé tó kéré jù	Minimum window list size
Fódà àwọn àgbéwọlé	The downloads folder
Àkójọpọ̀-ẹ̀rí Ara-ẹ̀ni	Personal Data
Galeon	Galeon
Pín àwọn fèrèsé nígbàtí ààyè bá kéré	Group windows when space is limited
<UNK> Ẹja náà	<UNK> the Fish
"Tó bá jẹ́ òótọ́, bọ́tìnì áíkànnùàkànṣe la lò gẹ́gẹ́ bíi áíkànnù àkànṣe fún bọ́tìnì náà. Tó bajẹ́ irọ́ a óò pa bọ́tìnì áíkànnùàkànṣe tì. Bọ́tìnì yìí kàn wúlò tó bá jẹ́ bọ́tìnì irúfẹ́nǹkan jẹ́ ""nǹkan-àtòjọ-ẹ̀yàn"" tàbí ""nǹkan-dúrọ́wà""."	"If true, the customicon key is used as a custom icon for the button. If false, the customicon key is ignored. This key is only relevant if the objecttype key is ""menu-object"" or ""drawer-object""."
Ìyítumọ̀ Àyọkà	Text only
Àwọn Mìíràn	Others
Arabic (MacArabic)	Arabic (MacArabic)
Lọ sí ojú-ìwé tókàn tí a óò bẹ̀ wò	Go to the next visited page
Gurmukhi (MacGurmukhi)	Gurmukhi (MacGurmukhi)
Fi àmì-ìwé tí a yàn hàn lórí àká-irinṣẹ́	Show the selected bookmark on a toolbar
Baltic (Windows-1257)	Baltic (Windows-1257)
Àkọ́lé àtiÀdírẹ̀sì	Title and Address
Jọra	Related
Kò Sí Ní Ọ̀wọ́bookmarks	Not Categorized
Ṣí Líǹkì	Open Link
Paá	Shut Down
Bọ́tìnì yìí sọ ní pàtó orúkọ-fáìlì pixmap tí a óò lò fún ìṣàfarawé kọ̀ǹpútà tí aṣàfihàn nínú ápúlẹ́ẹ̀tì ẹja tó jọ atọ́nà pixmap.	This key specifies the filename of the pixmap which will be used for the animation displayed in the fish applet relative to the pixmap directory.
Ti fèrèsé àwọn àmì-ìwé	Close the bookmarks window
Ó kùnà láti rí pixmap <UNK>	Failed to open the time settings
Fátìrì Wanda	Wanda Factory
Irúfẹ́ nǹkan pánẹ́ẹ̀lì	Panel object type
Fi Lọ́lẹ̀	Launch
Greek (Windows-1253)	Greek (Windows-1253)
Iṣẹ́bookmarks	Work
Àkóónú Wẹ́ẹ̀bù	Web Development
Ìfihàn	Version
Fi àmì-àṣírí hàn	Store password
Àwọn amúgbálẹ̀gbẹ́ alápọn	Active extensions
Yipo lórí àwọn pánẹ́ẹ̀lì òòró	Rotate on vertical panels
Gba agbára Píparí Iṣẹ́	Disable Logging Out
"Ipa tí a ti kọ́ àwọn àkóónú àtòjọ-ẹ̀yàn. Bọ́tìnì yìí kàn wúlò tí bọ́tìnìipaàtòjọ-ẹ̀yànìlò sì jẹ́ òótọ́ tí bọ́tìnìnǹkan jẹ́""nǹkan-àtòjọ-ẹ̀yàn"""	The path from which the menu contents is contructed. If empty, the menu will be the default applications menu.
Fi lẹ́tà kọ̀ǹpútà ránṣẹ́ sí àdírẹ̀sì “<UNK>”	Send email to address “<UNK>”
Ń sọ fáìlì tí a óò lò ní pàtó fún ẹ̀yìn àwòrán. Tí àwòrán náà bá ní ṣánẹ́ẹ̀lì alpha a óò tòójọ sórí àwòrán ẹ̀yìn ojú-iṣẹ́.	Specifies the file to be used for the background image. If the image contains an alpha channel it will be composited onto the desktop background image.
Ń ti Epiphany ní móòdù ojú kọ̀ǹpútà kíkún.	Locks Epiphany in fullscreen mode.
Gbe	Move
Àkókò ítánẹ́ẹ̀tì	Internet time
Sún láàrin àwọn ààyè-iṣẹ́	Switch between workspaces
Ìtàn ẹ̀yìn	Back history
<UNK> tí a rí nínú èròjà ìwádìí àtòpọ̀ kìí ṣe fálu tó fẹsẹ̀múlẹ̀ fún aṣẹ̀dá-ìtọ́ka <UNK>	<UNK> found in configuration database is not a valid value for keybinding <UNK>
Nípa GNOME	Learn more about GNOME
Ìpínfúnni Fún	Issued To
Da Ìṣàfarawé Kọ̀ǹpútà Dúró	Stop Animation
Àwọn Ẹ̀yàn Sáà	Session management options:
Wáròyìn ní ojú kọ̀ǹpútà kíkún	Browse at full screen
A kò pèsè URI fún fáìlì ojú-iṣẹ́ aṣàfilọ́lẹ̀ pánẹ́ẹ̀lì	No URI provided for panel launcher desktop file
Ọ́fíìsì	Office
Wá ìṣẹ̀lẹ̀ ọ̀rọ̀ tàbí àpólà tókàn	Find next occurrence of the word or phrase
Fajuyitan, Sunday Ayo ayo@wazobialinux,sunnytai@37.com	translator-credits
metacity <UNK> Àṣẹ lórí-àrà (C) 2001-2002 Havoc Pennington, Red Hat, Inc., àti àwọn mìíràn Ọ̀fẹ́ ni ẹ̀yà-ara kọ̀ǹpútà àìfojúrí yìí; wo orísun fún àwọn ìwọfún ìṣẹ̀dà. Kò sí wáráǹtì; kó dà kò sí fún ITAJA tàbí ÌWÚLÒ FÚN ÌLÒ PÀTÀKÌ KAN.	metacity <UNK> Copyright (C) 2001-<UNK> Havoc Pennington, Red Hat, Inc., and others This is free software; see the source for copying conditions. There is NO warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.
Gba ìròyìn àabò tó parí iṣẹ́	Page Security Information
toolbar style	Text beside icons
Ìṣàtòjọ-ètò	Programming
Tún iṣẹ́ tí a dá padà sípò ṣe	Redo the last undone action
A kò tíì soríkì àṣẹ támínà kankan.	No terminal command has been defined.
Fi àwọn sáà pamọ́	Save sessions
Ìgúnrégé àkànṣẹ́ fún aago	Custom format of the clock
Lo áíkànnù àkànṣe fún bọ́tìnì nǹkan	Use custom icon for object's button
Ìtalólobó tí a ṣàfihàn fún dúrọ́wà tàbí àtòjọ-ẹ̀yàn	Tooltip displayed for drawer or menu
Olótùú Àká-irinṣẹ́	Toolbar Editor
Ṣe o fẹ́ pa ápúlẹ́ẹ̀tì náà jẹ kúrò nínú àtòpọ̀ rẹ?	Do you want to delete the applet from your configuration?
Kúkì gbà	Cookie accept
ŃláSize	Large
Alábòójútó Fèrèsé	Window Manager
Tun bẹ̀rẹ̀	Resume
